Reporting Economy;Product/Sector;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Brazil;SI3_AGG - AG - Agricultural products;35011;39464;48205;61296;57618;68586;86390;86823;90638;87819;79916;76904;87792;92906;89086;93237;111086;147984
Brazil;SI3_AGG - AGFO - Food;30395;34295;42064;54232;51815;60803;77345;77604;82081;78763;70933;68001;77612;80324;76346;81391;97659;132205
Brazil;SI3_AGG - MI - Fuels and mining products;18908;26459;32194;44004;32648;56195;77796;65575;58652;54883;36411;32758;46850;58914;61605;58658;93874;96815
Brazil;SI3_AGG - MIFU - Fuels;7100;10590;13297;18689;13657;19843;26791;26453;17822;20650;13748;11581;18723;29609;30314;24873;38353;56851
Brazil;SI3_AGG - MA - Manufactures;61925;68244;75429;84353;56992;69748;81789;79358;75387;70775;64755;64503;74393;74691;66400;52064;70168;84149
Brazil;SI3_AGG - MAIS - Iron and steel;9062;9448;10134;13596;7315;8811;12520;11042;8975;10290;9433;8216;11281;12598;11545;9066;14514;17406
Brazil;SI3_AGG - MACH - Chemicals;7300;9253;10663;12572;10395;12156;14815;14845;14090;12973;11171;10852;11911;12134;11419;10095;12907;16119
Brazil;SI3_AGG - MACHPH - Pharmaceuticals;506;662;816;1050;1169;1359;1569;1597;1604;1654;1389;1275;1326;1254;1231;1143;1190;1507
Brazil;SI3_AGG - MAMT - Machinery and transport equipment;30643;33297;36552;40082;25930;33023;37415;36835;35619;30554;28809;30504;35613;34519;28866;20620;26150;32176
Brazil;SI3_AGG - MAMTOF - Office and telecom equipment;3743;3971;3171;3158;2335;2058;1825;1374;1194;901;868;730;829;895;830;691;755;947
Brazil;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;490;501;449;409;398;386;408;369;366;258;234;281;388;420;344;245;263;330
Brazil;SI3_AGG - MAMTOTTL - Telecommunications equipment;3081;3311;2600;2631;1821;1513;1229;838;661;476;439;311;254;280;348;289;327;504
Brazil;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;172;159;122;118;117;159;188;166;167;167;195;137;187;195;139;157;164;112
Brazil;SI3_AGG - MAMTTE - Transport equipment;17515;18854;21269;23214;14367;19551;21629;21155;21215;16193;16255;17859;20614;18852;15160;10941;13679;17395
Brazil;SI3_AGG - MAMTAU - Automotive products;11985;13032;13515;14742;8553;12636;14408;13037;14408;9990;9876;11135;14739;13032;9659;7253;9271;12419
Brazil;SI3_AGG - MATE - Textiles;1331;1363;1448;1358;953;1106;1108;994;949;882;875;793;799;745;697;622;845;913
Brazil;SI3_AGG - MACL - Clothing;369;306;283;252;173;188;193;167;163;159;140;132;153;148;160;122;168;205
BRIC members;SI3_AGG - TO - Total merchandise;1223896;1531918;1884834;2292892;1821700;2405170;2976964;3114751;3278233;3382717;3069621;2823410;3130519;3487277;3464644;3409072;4528753;4969387
BRICS members;SI3_AGG - TO - Total merchandise;1275522;1590093;1954618;2373674;1883377;2496517;3085778;3214357;3374386;3475760;3150623;2899625;3219465;3581247;3554660;3494906;4652325;5092288
Brunei Darussalam;SI3_AGG - TO - Total merchandise;6249;7636;7668;10319;7200;8907;12465;13001;11447;10509;6353;4875;5571;6574;7039;6608;11058;14230
Brunei Darussalam;SI3_AGG - AG - Agricultural products;;7;;;3;5;6;8;20;44;9;10;13;16;13;12;43;46
Brunei Darussalam;SI3_AGG - AGFO - Food;;7;;;2;3;5;6;18;41;7;8;11;13;11;10;40;45
Brunei Darussalam;SI3_AGG - MI - Fuels and mining products;5498;7364;7395;9931;6894;8490;11901;12462;11060;9736;5917;4300;5004;6001;6435;5392;8728;11453
Brunei Darussalam;SI3_AGG - MIFU - Fuels;4278;7356;7386;9919;6889;8476;11890;12448;11049;9725;5907;4284;4989;5982;6412;5387;8699;11423
Brunei Darussalam;SI3_AGG - MA - Manufactures;;254;;;265;400;537;513;349;714;418;557;533;547;585;1192;2272;2722
Brunei Darussalam;SI3_AGG - MAIS - Iron and steel;;5;;;10;7;18;17;36;26;19;13;7;38;31;8;10;10
Brunei Darussalam;SI3_AGG - MACH - Chemicals;;3;;;4;99;193;250;92;472;138;235;202;247;247;1104;1996;2488
Brunei Darussalam;SI3_AGG - MACHPH - Pharmaceuticals;;1;;;1;0;1;1;1;244;1;0;0;1;1;0;1;2
Brunei Darussalam;SI3_AGG - MAMT - Machinery and transport equipment;;94;;;153;160;244;153;129;143;182;239;140;172;229;50;215;132
Brunei Darussalam;SI3_AGG - MAMTOF - Office and telecom equipment;;10;;;16;37;46;40;16;20;13;39;11;11;6;3;5;7
Brunei Darussalam;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;;1;;;2;3;3;3;4;6;3;2;4;3;2;2;3;3
Brunei Darussalam;SI3_AGG - MAMTOTTL - Telecommunications equipment;;8;;;14;34;43;37;12;14;10;36;6;7;3;1;2;3
Brunei Darussalam;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;;0;;;0;0;0;0;0;0;0;0;1;1;1;1;1;2
Brunei Darussalam;SI3_AGG - MAMTTE - Transport equipment;;24;;;73;49;93;39;34;40;87;86;48;64;69;21;153;66
Brunei Darussalam;SI3_AGG - MAMTAU - Automotive products;;4;;;3;7;3;7;2;4;8;9;5;5;9;5;15;4
Brunei Darussalam;SI3_AGG - MATE - Textiles;;1;;;1;1;1;1;1;1;0;0;1;1;1;1;1;0
Brunei Darussalam;SI3_AGG - MACL - Clothing;;131;;;44;8;7;7;7;6;8;7;11;9;6;7;6;6
Bulgaria;SI3_AGG - TO - Total merchandise;11739;15064;18518;22362;16318;20630;28208;26686;29579;29245;25371;26572;31438;33617;33340;31954;41157;50239
Bulgaria;SI3_AGG - AG - Agricultural products;1445;1550;1925;3074;2905;3681;4879;4533;5704;5256;4422;4822;5017;5422;5644;5620;7371;8852
Bulgaria;SI3_AGG - AGFO - Food;1235;1293;1607;2799;2742;3374;4472;4148;5290;4786;4036;4463;4602;4946;5221;5283;6954;8407
Bulgaria;SI3_AGG - MI - Fuels and mining products;2898;5043;6025;7411;4536;6273;9116;9017;9157;8014;6221;5372;7452;7599;7360;6160;8615;12755
Bulgaria;SI3_AGG - MIFU - Fuels;1222;2003;2735;3677;2109;2787;3880;4432;4449;3729;2640;2304;2982;2844;3084;1441;2293;6153
Bulgaria;SI3_AGG - MA - Manufactures;6979;8039;10385;11587;8694;10357;13896;12883;14456;15577;14103;15409;17470;19513;19451;19201;24226;26609
Bulgaria;SI3_AGG - MAIS - Iron and steel;846;1011;1254;1229;573;629;1007;748;725;722;529;574;1087;1256;808;747;1316;1297
Bulgaria;SI3_AGG - MACH - Chemicals;892;956;1408;1779;1245;1635;2240;2208;2408;2679;2517;2672;3123;3453;3667;3744;4841;5916
Bulgaria;SI3_AGG - MACHPH - Pharmaceuticals;124;150;301;383;448;596;786;782;924;1051;908;890;1009;1104;1163;1205;1211;1204
Bulgaria;SI3_AGG - MAMT - Machinery and transport equipment;1675;2031;2766;3463;2747;3448;4748;4412;5293;5666;5236;5678;6600;7635;7825;7578;9421;10273
Bulgaria;SI3_AGG - MAMTOF - Office and telecom equipment;149;175;320;444;464;494;567;489;637;655;668;690;792;993;965;1002;1252;1363
Bulgaria;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;53;67;73;92;82;116;147;136;163;176;184;211;248;311;295;286;318;389
Bulgaria;SI3_AGG - MAMTOTTL - Telecommunications equipment;52;55;158;239;315;268;298;222;257;282;301;270;302;354;414;439;530;468
Bulgaria;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;44;53;89;113;66;109;122;131;217;197;183;208;242;329;257;277;404;505
Bulgaria;SI3_AGG - MAMTTE - Transport equipment;384;434;402;501;387;606;848;814;935;971;905;997;1116;1249;1367;1431;1720;1839
Bulgaria;SI3_AGG - MAMTAU - Automotive products;57;60;97;138;139;277;443;349;461;456;433;505;584;595;661;632;703;726
Bulgaria;SI3_AGG - MATE - Textiles;318;359;453;476;365;372;470;408;471;502;460;509;529;548;525;589;709;734
Bulgaria;SI3_AGG - MACL - Clothing;1731;1825;2001;1949;1581;1541;1813;1614;1778;1844;1532;1659;1628;1654;1557;1342;1377;1400
Burkina Faso;SI3_AGG - TO - Total merchandise;468;588;623;693;900;1591;2399;2182;2356;2453;2176;2509;2875;3254;3239;4372;5043;4518
Burkina Faso;SI3_AGG - AG - Agricultural products;293;391;414;317;371;363;477;483;782;775;665;753;763;796;677;561;797;848
Burkina Faso;SI3_AGG - AGFO - Food;58;79;110;119;119;137;205;182;311;310;365;324;393;475;323;297;341;383
Burkina Faso;SI3_AGG - MI - Fuels and mining products;19;61;65;84;100;45;65;73;142;240;93;104;185;218;180;130;187;97
Burkina Faso;SI3_AGG - MIFU - Fuels;17;60;64;83;98;38;57;71;116;138;34;11;14;27;20;13;13;32
Burkina Faso;SI3_AGG - MA - Manufactures;35;46;70;69;92;61;76;127;101;125;116;114;92;110;134;120;159;236
Burkina Faso;SI3_AGG - MAIS - Iron and steel;5;5;8;12;11;7;9;8;8;12;9;10;7;15;14;17;20;39
Burkina Faso;SI3_AGG - MACH - Chemicals;4;3;5;5;5;7;11;10;9;11;16;25;9;23;15;15;15;18
Burkina Faso;SI3_AGG - MACHPH - Pharmaceuticals;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1
Burkina Faso;SI3_AGG - MAMT - Machinery and transport equipment;9;10;25;24;36;23;30;81;52;74;68;58;56;52;83;49;73;74
Burkina Faso;SI3_AGG - MAMTOF - Office and telecom equipment;1;0;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;1
Burkina Faso;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Burkina Faso;SI3_AGG - MAMTOTTL - Telecommunications equipment;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1
Burkina Faso;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0
Burkina Faso;SI3_AGG - MAMTTE - Transport equipment;5;4;9;11;13;9;17;21;22;33;34;32;25;23;45;18;31;30
Burkina Faso;SI3_AGG - MAMTAU - Automotive products;2;3;8;10;7;4;6;10;7;21;20;21;15;8;13;11;27;19
Burkina Faso;SI3_AGG - MATE - Textiles;7;11;7;8;12;10;12;12;13;10;6;5;6;5;4;5;5;5
Burkina Faso;SI3_AGG - MACL - Clothing;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;1;2;0
Burundi;SI3_AGG - TO - Total merchandise;58;58;59;57;67;101;123;134;94;132;121;125;172;180;180;162;165;199
Burundi;SI3_AGG - AG - Agricultural products;50;45;35;35;44;86;83;89;57;81;74;79;89;89;81;81;78;112
Burundi;SI3_AGG - AGFO - Food;49;42;33;34;40;81;76;84;55;80;71;78;89;88;81;80;76;111
Burundi;SI3_AGG - MI - Fuels and mining products;2;4;9;9;6;8;12;19;11;4;3;7;9;22;18;12;19;15
Burundi;SI3_AGG - MIFU - Fuels;0;0;6;1;2;2;1;1;0;1;0;2;0;7;5;3;4;7
Burundi;SI3_AGG - MA - Manufactures;4;9;15;14;17;6;27;25;17;32;23;22;15;13;15;22;26;28
Burundi;SI3_AGG - MAIS - Iron and steel;0;0;0;0;0;0;1;1;2;2;1;1;1;1;3;9;9;9
Burundi;SI3_AGG - MACH - Chemicals;0;0;1;1;1;2;5;6;8;9;7;5;2;3;1;1;1;2
Burundi;SI3_AGG - MACHPH - Pharmaceuticals;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Burundi;SI3_AGG - MAMT - Machinery and transport equipment;3;6;7;11;13;3;15;9;2;6;3;6;2;3;6;3;4;4
Burundi;SI3_AGG - MAMTOF - Office and telecom equipment;0;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0
Burundi;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;SI3_AGG - MAMTOTTL - Telecommunications equipment;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0
Burundi;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;0;;0;;0;0;0;0;;0;0;0;0;0;0;0
Burundi;SI3_AGG - MAMTTE - Transport equipment;2;5;6;8;10;2;4;6;1;3;1;3;1;2;3;1;1;2
Burundi;SI3_AGG - MAMTAU - Automotive products;2;3;4;7;9;1;4;5;1;3;1;3;1;1;2;1;1;2
Burundi;SI3_AGG - MATE - Textiles;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;SI3_AGG - MACL - Clothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;SI3_AGG - TO - Total merchandise;18;21;19;32;35;44;69;56;69;80;67;60;50;76;62;53;55;46
Cabo Verde;SI3_AGG - AG - Agricultural products;2;3;7;18;25;36;57;46;59;73;62;50;39;63;50;36;38;33
Cabo Verde;SI3_AGG - AGFO - Food;2;3;;;25;36;57;46;59;73;62;50;39;63;50;36;38;33
Cabo Verde;SI3_AGG - MI - Fuels and mining products;8;9;;;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;SI3_AGG - MIFU - Fuels;8;9;;;;;0;;;;;;;;0;0;0;0
Cabo Verde;SI3_AGG - MA - Manufactures;7;8;11;10;9;8;11;7;9;7;4;10;11;12;12;17;8;9
Cabo Verde;SI3_AGG - MAIS - Iron and steel;0;0;;;;;;;0;0;0;;;;0;0;0;0
Cabo Verde;SI3_AGG - MACH - Chemicals;0;0;;;0;0;0;0;0;1;1;0;;0;0;9;0;0
Cabo Verde;SI3_AGG - MACHPH - Pharmaceuticals;0;0;;;0;;0;0;0;0;0;0;;;0;9;0;0
Cabo Verde;SI3_AGG - MAMT - Machinery and transport equipment;4;6;;;;;;;;;;;;0;0;0;0;0
Cabo Verde;SI3_AGG - MAMTOF - Office and telecom equipment;0;0;;;;;;;;;;;;0;0;0;0;0
Cabo Verde;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;0;0;;;;;;;;;;;;0;0;0;0;0
Cabo Verde;SI3_AGG - MAMTOTTL - Telecommunications equipment;0;0;;;;;;;;;;;;;0;0;0;0
Cabo Verde;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;;;;;;;;;;;;;0;0;0;0
Cabo Verde;SI3_AGG - MAMTTE - Transport equipment;3;5;;;;;;;;;;;;0;0;0;0;0
Cabo Verde;SI3_AGG - MAMTAU - Automotive products;0;0;;;;;;;;;;;;0;0;0;0;0
Cabo Verde;SI3_AGG - MATE - Textiles;0;0;;;;;;0;;0;0;;0;;0;0;0;0
Cabo Verde;SI3_AGG - MACL - Clothing;1;1;6;6;6;4;5;3;4;6;6;6;6;7;7;4;4;5
Cambodia;SI3_AGG - TO - Total merchandise;3092;3692;4088;4708;4196;5143;6704;7838;6666;6846;8542;10069;11278;12700;14825;17716;19307;22472
Cambodia;SI3_AGG - AG - Agricultural products;75;80;81;68;97;208;424;394;626;620;590;659;861;935;930;1095;1353;1431
Cambodia;SI3_AGG - AGFO - Food;28;22;25;29;39;80;177;202;389;361;407;454;539;655;680;789;905;985
Cambodia;SI3_AGG - MI - Fuels and mining products;0;1;4;121;38;7;5;10;16;18;11;14;32;35;72;99;173;230
Cambodia;SI3_AGG - MIFU - Fuels;0;;;0;;0;0;1;0;0;0;1;0;0;0;0;0;0
Cambodia;SI3_AGG - MA - Manufactures;2927;3469;3429;4154;4060;4926;6270;5348;6020;6169;7909;9206;10160;11695;13431;13509;15912;18682
Cambodia;SI3_AGG - MAIS - Iron and steel;0;0;1;0;0;3;0;0;1;2;2;6;11;18;16;23;43;34
Cambodia;SI3_AGG - MACH - Chemicals;2;6;7;3;23;15;9;13;20;11;73;159;176;99;82;72;120;147
Cambodia;SI3_AGG - MACHPH - Pharmaceuticals;1;1;2;1;3;3;5;2;2;3;4;5;11;8;8;12;14;20
Cambodia;SI3_AGG - MAMT - Machinery and transport equipment;12;62;59;105;113;269;321;284;618;87;663;835;900;1011;1138;1494;1984;3235
Cambodia;SI3_AGG - MAMTOF - Office and telecom equipment;1;2;1;2;4;5;3;14;108;31;188;192;165;181;143;293;435;1194
Cambodia;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;0;0;0;0;0;0;0;0;1;8;27;23;158;150;107;125;136;117
Cambodia;SI3_AGG - MAMTOTTL - Telecommunications equipment;1;2;1;2;4;5;3;14;107;22;160;169;5;30;4;2;11;53
Cambodia;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;;;;;0;0;0;0;0;1;0;1;1;31;166;288;1025
Cambodia;SI3_AGG - MAMTTE - Transport equipment;6;44;52;98;95;120;306;233;365;8;287;356;385;418;464;580;719;1053
Cambodia;SI3_AGG - MAMTAU - Automotive products;5;4;10;14;11;33;184;14;48;4;76;8;20;32;38;35;33;39
Cambodia;SI3_AGG - MATE - Textiles;33;30;22;15;13;19;27;42;88;57;123;163;154;172;198;277;331;293
Cambodia;SI3_AGG - MACL - Clothing;2210;2639;2662;3014;2441;3041;3995;4022;4832;5339;5938;6651;7056;7859;8328;7548;8126;9122
Cameroon;SI3_AGG - TO - Total merchandise;2861;3576;4230;5241;3552;3878;4517;4274;4515;5145;4058;3305;3233;3803;4084;3132;4317;5900
Cameroon;SI3_AGG - AG - Agricultural products;735;1011;1092;1342;1289;1521;1538;1403;1469;1641;1738;1601;1412;1517;1499;1396;1714;1716
Cameroon;SI3_AGG - AGFO - Food;418;430;488;687;829;948;861;732;749;902;1055;961;716;746;803;752;914;822
Cameroon;SI3_AGG - MI - Fuels and mining products;1348;2379;2743;3411;1964;2061;2540;2465;2623;3101;2025;319;1569;2052;2322;1521;2314;3478
Cameroon;SI3_AGG - MIFU - Fuels;1212;2203;2482;3141;1836;1922;2402;2374;2529;2906;1839;164;1418;1913;2205;1417;2227;3388
Cameroon;SI3_AGG - MA - Manufactures;75;108;333;442;275;267;429;371;421;402;289;209;251;234;253;215;266;321
Cameroon;SI3_AGG - MAIS - Iron and steel;2;1;7;15;11;17;37;40;32;38;32;22;20;23;29;35;42;6
Cameroon;SI3_AGG - MACH - Chemicals;15;12;42;53;53;56;74;127;112;98;79;65;69;74;73;70;68;79
Cameroon;SI3_AGG - MACHPH - Pharmaceuticals;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;2;1;2
Cameroon;SI3_AGG - MAMT - Machinery and transport equipment;16;15;168;235;88;79;184;71;122;118;75;26;43;30;43;17;46;58
Cameroon;SI3_AGG - MAMTOF - Office and telecom equipment;1;1;1;1;2;1;1;1;2;2;1;1;3;6;8;1;2;2
Cameroon;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;1;1;1;1;1;1;1;1;1;1;0;0;0;0;7;0;1;1
Cameroon;SI3_AGG - MAMTOTTL - Telecommunications equipment;0;0;0;0;1;0;0;0;0;1;1;0;3;6;1;0;1;1
Cameroon;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cameroon;SI3_AGG - MAMTTE - Transport equipment;4;3;69;183;51;13;18;14;52;8;16;6;13;5;11;4;14;19
Cameroon;SI3_AGG - MAMTAU - Automotive products;2;2;4;3;10;6;6;7;8;2;5;3;5;2;9;2;11;16
Cameroon;SI3_AGG - MATE - Textiles;1;1;1;4;4;4;6;7;3;3;1;5;6;2;8;3;4;3
Cameroon;SI3_AGG - MACL - Clothing;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
Canada;SI3_AGG - TO - Total merchandise;360475;388178;420693;456471;316094;387481;451335;455592;458318;476300;410062;389991;420665;452313;448817;390763;507615;599056
Canada;SI3_AGG - AG - Agricultural products;41210;44208;48728;54137;43679;52128;60144;62868;65678;68170;63512;63054;66585;69134;64990;69676;87471;91455
Canada;SI3_AGG - AGFO - Food;24278;27107;31918;39363;33292;37163;43631;46355;47105;49587;46799;46163;48949;50433;49789;54609;64965;70631
Canada;SI3_AGG - MI - Fuels and mining products;92657;106366;123686;161473;92985;121625;154393;149404;152206;160676;104503;87095;113210;131127;127709;98650;161322;223651
Canada;SI3_AGG - MIFU - Fuels;72831;77450;87220;125791;72000;92052;116019;116359;120366;128612;77449;62248;84576;99648;98636;68752;119708;180416
Canada;SI3_AGG - MA - Manufactures;206249;215382;224323;214092;156849;186085;204091;210827;206974;212964;208732;204799;206459;215346;212361;181847;213665;242377
Canada;SI3_AGG - MAIS - Iron and steel;5595;6221;7109;9334;4784;7051;7543;7595;6887;7473;6357;5507;6768;7103;5798;5025;9731;10778
Canada;SI3_AGG - MACH - Chemicals;26129;29440;34705;37920;27906;33153;39432;37043;37714;37974;36660;34201;32972;37652;36773;35840;45649;56777
Canada;SI3_AGG - MACHPH - Pharmaceuticals;3484;4674;6180;6181;6439;5703;5636;5180;5529;7137;7776;8440;6314;7936;8501;8315;9622;10890
Canada;SI3_AGG - MAMT - Machinery and transport equipment;118409;123206;127468;113690;83997;101099;109658;119409;115466;119263;117508;117301;117378;118289;118890;94903;100841;112713
Canada;SI3_AGG - MAMTOF - Office and telecom equipment;13648;14751;15191;14312;11021;10686;11111;10423;9475;9158;8764;8374;8498;8685;8463;6828;7591;8564
Canada;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;3686;3912;4307;4114;3051;3018;3080;2739;2526;2593;2495;2422;3218;3187;3212;2702;2963;2814
Canada;SI3_AGG - MAMTOTTL - Telecommunications equipment;7353;8674;8578;7275;5754;5847;5797;5633;5064;4820;4796;4617;3859;3917;3677;2938;3226;5085
Canada;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;2609;2165;2306;2922;2216;1822;2234;2051;1884;1746;1473;1335;1422;1580;1574;1189;1403;665
Canada;SI3_AGG - MAMTTE - Transport equipment;78344;79046;79850;64901;46119;62305;66474;75257;73253;76553;76894;78380;75465;73894;74493;57936;58136;63373
Canada;SI3_AGG - MAMTAU - Automotive products;66855;66339;65836;51806;34171;50116;53946;62157;59937;61303;61832;65604;63214;60667;60754;46135;45074;50236
Canada;SI3_AGG - MATE - Textiles;2465;2369;2316;1992;1644;1907;2024;2018;1899;1830;1781;1785;1777;1790;1675;1538;1631;1604
Canada;SI3_AGG - MACL - Clothing;1860;1798;1586;1272;1005;1173;1289;1280;1270;1372;1414;1315;1463;1652;1746;1360;2008;1929
Caribbean Community (CARICOM);SI3_AGG - TO - Total merchandise;15013;20312;20264;26427;15022;17800;23204;22202;27438;22550;17651;14471;16261;18864;15607;13735;19517;32419
Cayman Islands;SI3_AGG - TO - Total merchandise;51;17;22;33;28;24;37;39;51;48;65;58;39;41;50;22;27;25
Cayman Islands;SI3_AGG - AG - Agricultural products;;;;;;;;;;;;;;;;1;1;1
Cayman Islands;SI3_AGG - AGFO - Food;;;;;;;;;;;;;;;;0;1;1
Cayman Islands;SI3_AGG - MI - Fuels and mining products;;;;;;;;;;;;;;;;4;3;3
Cayman Islands;SI3_AGG - MIFU - Fuels;;;;;;;;;;;;;;;;3;0;0
Cayman Islands;SI3_AGG - MA - Manufactures;;;;;;;;;;;;;;;;15;11;10
Cayman Islands;SI3_AGG - MAIS - Iron and steel;;;;;;;;;;;;;;;;;0;0
Cayman Islands;SI3_AGG - MACH - Chemicals;;;;;;;;;;;;;;;;0;1;1
Cayman Islands;SI3_AGG - MACHPH - Pharmaceuticals;;;;;;;;;;;;;;;;0;0;0
Cayman Islands;SI3_AGG - MAMT - Machinery and transport equipment;;;;;;;;;;;;;;;;12;8;7
Cayman Islands;SI3_AGG - MAMTOF - Office and telecom equipment;;;;;;;;;;;;;;;;10;7;7
Cayman Islands;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;;;;;;;;;;;;;;;;1;0;0
Cayman Islands;SI3_AGG - MAMTOTTL - Telecommunications equipment;;;;;;;;;;;;;;;;9;7;6
Cayman Islands;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;;;;;;;;;;;;;;;;0;0;0
Cayman Islands;SI3_AGG - MAMTTE - Transport equipment;;;;;;;;;;;;;;;;1;0;0
Cayman Islands;SI3_AGG - MAMTAU - Automotive products;;;;;;;;;;;;;;;;0;0;0
Cayman Islands;SI3_AGG - MATE - Textiles;;;;;;;;;;;;;;;;0;0;0
Cayman Islands;SI3_AGG - MACL - Clothing;;;;;;;;;;;;;;;;0;0;0
Central African Economic and Monetary Community (CAEMC);SI3_AGG - TO - Total merchandise;22944;26821;30886;43513;29130;33222;46596;41708;43623;39201;26806;22606;24611;30524;24519;19294;28817;36904
Central African Republic;SI3_AGG - TO - Total merchandise;128;158;178;150;120;140;190;203;116;99;86;115;140;164;148;134;130;143
Central African Republic;SI3_AGG - AG - Agricultural products;49;30;67;60;28;34;33;37;22;21;19;29;27;16;16;8;9;6
Central African Republic;SI3_AGG - AGFO - Food;1;0;4;2;3;1;1;0;0;0;1;0;3;0;1;0;0;0
Central African Republic;SI3_AGG - MI - Fuels and mining products;20;17;35;41;50;52;64;66;22;18;0;2;7;8;6;7;12;14
Central African Republic;SI3_AGG - MIFU - Fuels;0;0;;0;;;1;0;0;0;0;0;0;0;0;0;0;0
Central African Republic;SI3_AGG - MA - Manufactures;42;53;29;13;2;3;4;10;3;0;66;50;105;20;92;16;11;36
Central African Republic;SI3_AGG - MAIS - Iron and steel;;0;0;;;;;;;;;;;0;0;0;0;0
Central African Republic;SI3_AGG - MACH - Chemicals;0;0;0;0;;0;0;1;0;0;0;0;0;0;0;0;0;0
Central African Republic;SI3_AGG - MACHPH - Pharmaceuticals;;0;0;0;;;0;0;0;;;;0;0;0;0;0;0
Central African Republic;SI3_AGG - MAMT - Machinery and transport equipment;1;0;1;3;1;2;4;8;3;0;65;49;101;19;92;15;10;28
Central African Republic;SI3_AGG - MAMTOF - Office and telecom equipment;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0
Central African Republic;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;0;;;0;0;;;0;;;0;0;0;0;0;0;0;0
Central African Republic;SI3_AGG - MAMTOTTL - Telecommunications equipment;0;0;0;0;0;0;;;0;;;0;0;0;0;0;0;0
Central African Republic;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;0;0;;0;;;;;;;;;0;0;0;0
Central African Republic;SI3_AGG - MAMTTE - Transport equipment;1;0;1;2;0;0;2;3;1;0;65;45;79;7;91;11;8;19
Central African Republic;SI3_AGG - MAMTAU - Automotive products;1;0;0;2;0;0;2;3;1;0;65;38;59;5;3;10;7;17
Central African Republic;SI3_AGG - MATE - Textiles;0;;0;;;;0;0;0;0;0;0;2;0;0;0;0;3
Central African Republic;SI3_AGG - MACL - Clothing;0;;;;;;;;;;;0;1;0;0;0;0;0
Central American Common Market (CACM);SI3_AGG - TO - Total merchandise;29577;33174;37040;40429;37798;42912;52782;55741;54355;53558;50021;50165;52436;53308;54322;50899;65513;75369
Chad;SI3_AGG - TO - Total merchandise;3081;3352;3666;4169;2800;3600;4800;4800;3800;4194;2426;2090;2621;2670;2588;1713;2694;3500
Chile;SI3_AGG - TO - Total merchandise;41267;58680;67972;64510;55463;71109;81438;77791;76770;75065;62035;60718;68823;74839;68794;74023;94775;98549
Chile;SI3_AGG - AG - Agricultural products;10677;12091;14365;16374;14298;15718;18824;18698;20568;21880;19586;20252;21298;24314;23236;21664;23976;26403
Chile;SI3_AGG - AGFO - Food;8033;9126;10361;12117;11018;11756;14160;14286;15722;16777;15062;15868;16586;18410;18470;17687;19078;21210
Chile;SI3_AGG - MI - Fuels and mining products;24802;39346;45449;37573;33220;45987;50755;47308;44682;42017;33071;31176;37983;40114;36027;43006;59679;50756
